age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,Income
30,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
45,Self-emp-inc,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,5000,0,50,United-States,>50K
25,Private,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,0,0,35,United-States,<=50K
55,Federal-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,200,45,Philippines,>50K
35,Private,Assoc-voc,11,Divorced,Craft-repair,Not-in-family,White,Male,0,0,42,United-States,<=50K
28,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,38,United-States,<=50K
52,Self-emp-inc,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,5000,0,50,United-States,>50K
45,State-gov,Doctorate,16,Divorced,Prof-specialty,Not-in-family,Black,Female,0,2000,40,United-States,>50K
19,Private,11th,7,Never-married,Other-service,Own-child,Asian-Pac-Islander,Male,0,0,25,Philippines,<=50K
63,Local-gov,HS-grad,9,Widowed,Craft-repair,Other-relative,White,Male,0,0,35,United-States,<=50K
25,Private,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,30,United-States,<=50K
45,Self-emp-inc,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,5000,0,55,United-States,>50K
35,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,45,Philippines,<=50K
55,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,2000,40,United-States,>50K
22,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
52,Self-emp-inc,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,10000,0,60,United-States,>50K
38,Private,Some-college,10,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K
55,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2000,45,United-States,>50K
30,Private,Bachelors,13,Never-married,Sales,Own-child,Black,Female,0,0,38,United-States,<=50K
48,Self-emp-not-inc,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K
28,Private,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Male,0,0,40,United-States,<=50K
62,Self-emp-not-inc,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,2000,45,United-States,<=50K
38,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,10000,0,55,Philippines,>50K
23,Private,Assoc-acdm,12,Never-married,Tech-support,Other-relative,White,Female,0,0,35,United-States,<=50K
48,Federal-gov,Masters,14,Married-civ-spouse,Exec-managerial,Wife,Black,Female,2000,0,50,United-States,>50K
48,Self-emp-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,20000,0,60,United-States,>50K
55,State-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
